Posted Date;Letter Issue Date;Company Name;Issuing Office;Subject;Response Letter;Closeout Letter
08/02/2022;08/01/2022;Yogi’s Vape Lounge;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;CVM 3, LLC d/b/a Carolina Vapor Mill;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;CVM 3, LLC d/b/a Carolina Vapor Mill;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;CVM 3, LLC d/b/a Carolina Vapor Mill;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Electrik Smoke LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Boosted LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Walker Trading Co. Inc. d/b/a Vape Dojo;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Ferrum City Liquid;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Gentleman’s Draw LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Cyberliquids, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Five Pawns, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Dongguan Hengtai Biotechnology, Co., Ltd d/b/a Mr. Fog;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;07/19/2022;DSP Skin Care LLC;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated/Misbranded;;
08/02/2022;07/05/2022;Transworld International Trading Corp.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
08/04/2022;08/04/2022;Brew City Juice, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/05/2022;08/04/2022;FluxxLab LLC;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
08/08/2022;08/08/2022;JJDS E Cigarettes LLC d/b/a TKO Vapor Roswell;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/08/2022;08/08/2022;Vapor-Saloon, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/09/2022;07/28/2022;Vitti Labs, LLC;Office of Biological Products Operations – Division 2;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
08/09/2022;07/22/2022;Muscle Feast, LLC;Office of Human and Animal Foods – East 5;CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated;;02/10/2023
08/09/2022;08/04/2022;Amazon.com, Inc.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug;;
08/09/2022;08/04/2022;JB Exchange Inc./Justified Laboratories;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug;;
08/09/2022;08/04/2022;Ariella Naturals;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug;;
08/09/2022;07/12/2022;Zyno Medical LLC;Office of Medical Devices and Radiological Health Operations Div. 1 East;CGMP/QSR/Medical Devices/Adulterated;;
08/09/2022;06/16/2022;InfuTronix LLC;Office of Medical Devices and Radiological Health Operations Div. 1 East;CGMP/QSR/Medical Devices/Adulterated;;
08/09/2022;08/03/2022;Valley Biosystems;Center for Biologics Evaluation and Research (CBER);Bioresearch Monitoring Program;;10/18/2022
08/11/2022;08/11/2022;Boardwalk Elixir;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/11/2022;08/11/2022;The Juice Bar;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/16/2022;08/08/2022;Oregon’s Wild Harvest, Inc.;Division of Human and Animal Food Operations West VI;CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated;;04/19/2023
08/16/2022;03/30/2022;Verde Cosmetic Labs LLC;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
11/21/2022;11/16/2022;11-11-11 Brands;Center for Food Safety and Applied Nutrition (CFSAN);Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
11/21/2022;11/16/2022;Naturally Infused LLC;Center for Food Safety and Applied Nutrition (CFSAN);Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
11/21/2022;11/16/2022;CBD American Shaman, LLC;Center for Food Safety and Applied Nutrition (CFSAN);Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
11/22/2022;11/09/2022;Invitrx Therapeutics, Inc.;Division of Biological Products Operations II;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
11/22/2022;10/19/2022;Pepe’s Foods Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
11/22/2022;09/20/2022;Effingham Equity;Division of Human and Animal Food Operations East VI;CGMP/Medicated Feeds/Adulterated;;
11/22/2022;11/14/2022;yourtramadol.com;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
11/22/2022;11/14/2022;goodimmuno.com;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
11/22/2022;11/07/2022;K2 Trading Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
11/22/2022;11/14/2022;The Truth Company, LLC;Division of Human and Animal Food Operations West IV;New Drug/Misbranded;;
11/22/2022;10/18/2022;Rosebud's Ranch and Garden, LLC;Division of Human and Animal Food Operations East V;New Drug/Misbranded;;04/07/2023
11/22/2022;09/23/2022;The Ben Heggy Candy Company;Division of Human and Animal Food Operations East V;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;
11/22/2022;09/07/2022;The Bonami Baking Company, Inc.;Division of Human and Animal Food Operations West V;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;
11/22/2022;11/04/2022;Winfrey's Olde English Fudge, Inc.;Division of Human and Animal Food Operations East I;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;
11/22/2022;10/27/2022;Happy Sprout Inc.;Division of Human and Animal Food Operations East II;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;
11/29/2022;11/10/2022;Vapor Plus OK LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/29/2022;11/18/2022;"""David M. Lubeck, M.D./Arbor Centers for EyeCare";Center for Drug Evaluation and Research | CDER;Clinical Investigator (Sponsor) ;;
11/29/2022;06/01/2022;Jam Jam Services, Inc.;Division of Southeast Imports;Foreign Supplier Verification Program (FSVP);;
11/29/2022;09/19/2022;La Serranita Import and Export LLC;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
11/29/2022;11/09/2022;J R Imports LLC;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
11/29/2022;09/01/2022;Shuzy Rock Inc.;Division of Pharmaceutical Quality Operations I;CGMP/Finished Pharmaceuticals/Adulterated;;
11/30/2022;11/30/2022;Jayde's Vapor Lounge;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
12/01/2022;12/01/2022;Vapor Candy Inc d/b/a The Vape Stop;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
12/06/2022;11/28/2022;AG Hair Limited;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
12/06/2022;11/22/2022;Glenmark Pharmaceuticals Limited;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
12/06/2022;09/23/2022;Saffron USA LLC;Division of Human and Animal Food Operations East IV;Unapproved New Drugs/Misbranded;;01/17/2023
12/06/2022;10/24/2022;Cryos International USA LLC;Division of Biological Products Operations I;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
12/06/2022;10/17/2022;Zuland Distributor Corp;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
12/06/2022;11/07/2022;Manzela USA, LLC;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
12/06/2022;11/07/2022;Maliba African Market Corp.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
12/06/2022;11/30/2022;Kari Gran Inc.;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
12/08/2022;12/08/2022;Vapors of Ohio Inc d/b/a Nostalgic Vapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
12/08/2022;12/08/2022;Cloud House Vape;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/22/2019;10/16/2019;Foodworks International LLC;Division of Southeast Imports;Foreign Supplier Verification Program (FSVP);;
12/13/2022;12/05/2022;Thriftmaster Texas, LLC. d/b/a ThriftMaster Global Holdings, Inc. and TM Global Biosciences, LLC;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated Human Foods;;
12/13/2022;11/21/2022;Euphoria Fancy Food Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
12/13/2022;12/02/2022;SV3, LLC d/b/a Mi-One Brands;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
12/13/2022;12/07/2022;Centrient Pharmaceuticals India Private Limited;Center for Drug Evaluation and Research | CDER;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
12/13/2022;11/22/2022;Cecilia Alvarez;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
12/13/2022;11/29/2022;Gobwa Exotic Imports Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
12/15/2022;12/15/2022;Vape King Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
12/15/2022;12/15/2022;Vapor E-Cigarette, L.L.C.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/19/2023;01/19/2023;Southbound Vapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/19/2023;01/19/2023;Modfathers Vapor;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/24/2023;11/18/2022;North American Custom Laboratories, LLC dba FarmaKeio Superior Custom Compounding;Division of Pharmaceutical Quality Operations II;Compounding Pharmacy/Adulterated Drug Products;;
01/24/2023;01/10/2023;Lineage Vapors LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/24/2023;01/11/2023;Larkin Community Hospital Institutional Review Board;Center for Drug Evaluation and Research | CDER;Bioresearch Monitoring Program/Institutional Review Board (IRB);;
01/24/2023;11/16/2022;Evimeria El Aztecano, Inc.;Division of Human and Animal Food Operations West V;Dietary Supplement/Misbranded;;
01/24/2023;01/18/2023;Buzzagogo, LLC;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug;;
01/24/2023;10/07/2022;Leimax, Corp.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
01/24/2023;10/14/2022;Fuentes Farms LLC;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
01/24/2023;08/30/2022;TL State Management, Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
01/24/2023;11/02/2022;Gold Coast Distributors Inc. dba Shah Distributors;Division of Human and Animal Food Operations West V;CGMP/Warehouse/Insanitary Conditions/Adulterated;;
01/24/2023;08/19/2022;Cloud Dreams, Inc. dba Rx Vape;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/24/2023;10/28/2022;Sabrina Cosmetics d/b/a SCOS;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/24/2023;01/13/2023;New Vaping US;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/26/2023;01/26/2023;3rd Rock Vapor;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/26/2023;01/26/2023;Zombieland LLC dba Mafia Street Vapor Company;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/31/2023;12/20/2022;RightEye, LLC;Division of Medical Device and Radiological Health Operations East;Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device;;
01/31/2023;12/27/2022;Urban Electric Power;Division of Pharmaceutical Quality Operations I;CGMP/Drug Products/Adulterated;;
01/31/2023;01/18/2023;Mohawk Laboratories Division of NCH Corporation;Division of Pharmaceutical Quality Operations II;CGMP/Drug Products/Adulterated;;
01/31/2023;01/30/2023;Old Tiles Wallpaper, LLC DBA Old Tiles Decor;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
01/31/2023;01/30/2023;Monkeypox-treatment.com;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
01/31/2023;06/01/2022;S&S Quality Wholesale Inc.;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
01/31/2023;01/27/2023;Shenzhen GreenSound High-Tech Co., LTD d/b/a Vaporlax;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
01/31/2023;01/24/2023;Adept Life Science, LLC;Division of Human and Animal Food Operations East IV;CGMP/Dietary Supplement/Misbranded;;
01/31/2023;01/30/2023;Noble Elements, LLC;Center for Food Safety and Applied Nutrition (CFSAN);Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
01/31/2023;01/30/2023;Organic Heirloom Plants;Center for Food Safety and Applied Nutrition (CFSAN);Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
01/31/2023;01/30/2023;Dr. Green Mom, LLC;Center for Food Safety and Applied Nutrition (CFSAN);Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
02/02/2023;02/02/2023;Liquivape;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
02/02/2023;02/02/2023;Switch to Vapor;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
02/07/2023;12/21/2022;Salon Technologies International, Inc.;Division of Pharmaceutical Quality Operations II;CGMP/Finished Pharmaceuticals/Adulterated;;
02/07/2023;11/17/2022;Mark S. Denker, M.D., PA dba Palm Beach Fertility Center;Division of Biological Products Operations I;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
02/07/2023;12/13/2022;Quality Supplement Manufacturing, Inc.;Division of Pharmaceutical Quality Operations III;CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated;;
02/07/2023;09/30/2022;MicroVention Costa Rica S.R.L.;Center for Devices and Radiological Health;CGMP/QSR/Medical Devices/Adulterated;;
02/07/2023;01/24/2023;J.M. Smucker LLC;Division of Human and Animal Food Operations East V;CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;
02/07/2023;12/07/2022;AMO and Wing Inc. dba T and H Trading Co.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
02/07/2023;11/07/2022;HST Produce, Inc.;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
02/07/2023;02/06/2023;The Body Bean, LLC;Center for Drug Evaluation and Research | CDER;Failure to Register and List;;
02/09/2023;02/09/2023;Unlit Vapor Shoppe LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/01/2022;09/21/2022;ARYZ Trading LLC;Division of Northern Border Imports;Foreign Supplier Verification Program (FSVP);;
11/01/2022;10/21/2022;Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center, LLC;Office of Pharmaceutical Quality Operations, Division II;Compounding Pharmacy/Adulterated Drug Products;;
11/01/2022;08/23/2022;Minuti Coffee LLC;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
11/01/2022;10/28/2022;Amazon.com, Inc.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
11/01/2022;10/28/2022;Latin Foods Market;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
11/01/2022;10/28/2022;Walmart Inc.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
11/01/2022;09/27/2022;Lupin Limited;Center for Drug Evaluation and Research | CDER;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
11/02/2022;11/01/2022;Alternative Health Distribution LLC d/b/a CannaAid;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Product Related to Coronavirus Disease 2019 (COVID-19);;
11/03/2022;11/03/2022;Vape King, Inc;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/03/2022;11/03/2022;Rogue Vapers, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/03/2022;11/03/2022;Juicemafia Inc. d/b/a ECIG-Works;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/03/2022;11/03/2022;Cloud X Vapes Forest Lake LLC d/b/a CloudXVapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/08/2022;10/31/2022;Abraxis Bioscience LLC;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
11/08/2022;07/12/2022;NatureLab Corp.;Division of Pharmaceutical Quality Operations II;CGMP/Dietary Supplement/Adulterated;;04/28/2023
11/08/2022;10/28/2022;Vape Crusades;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/08/2022;11/03/2022;The Anthos Group, Inc.;Center for Drug Evaluation and Research | CDER;Refusal to Provide Access to and Copying of Records;;
11/08/2022;09/06/2022;Third Synthesis Inc., dba Chicago Sweet Connections, Inc.;Division of Human and Animal Food Operations East VI;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;06/02/2023
11/08/2022;11/02/2022;Omega & Delta Co., Inc.;Division of Pharmaceutical Quality Operations II;CGMP/Finished Pharmaceuticals/Adulterated;;
11/09/2022;11/09/2022;E-Cig POD USA LLC d/b/a e-cig POD;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/10/2022;11/10/2022;Juice Mafia, Inc. dba Ecig-Works;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/10/2022;11/10/2022;Honest Living Vape Shoppe & Apothecary;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/14/2022;11/14/2022;One Stop VAPE Shop #3 - Grove;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/15/2022;11/04/2022;EC Vapor LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/15/2022;10/18/2022;HolleHippos LLC;Division of Southeast Imports;Foreign Supplier Verification Program (FSVP);;
11/15/2022;11/10/2022;Cali Steam, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/15/2022;10/26/2022;Lucero Produce II Corp.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
11/16/2022;11/16/2022;Ruthless Vapor Corporation;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/16/2022;11/16/2022;Shenzhen Fumot Technology Co., Ltd.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/16/2022;11/16/2022;Wizman Limited d/b/a Wizvapor;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/16/2022;11/16/2022;Shenzhen Quawins Technology Co., Ltd;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/16/2022;11/16/2022;Moti Global;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/16/2022;11/16/2022;Smoke N Vape Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/17/2022;11/14/2022;Essential Elements;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/14/2022;iwi;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/14/2022;BergaMet North America LLC;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/14/2022;Healthy Trends Worldwide, LLC;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/14/2022;Chambers' Apothecary;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/14/2022;Anabolic Laboratories Inc;Center for Food Safety and Applied Nutrition (CFSAN);New Drug/Misbranded;;
11/17/2022;11/17/2022;Vapor Dynasty LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
11/21/2022;11/16/2022;Infusionz, LLC;Center for Food Safety and Applied Nutrition (CFSAN);Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
11/21/2022;11/16/2022;Newhere Inc dba CBDFX;Center for Food Safety and Applied Nutrition (CFSAN);Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
09/27/2022;09/27/2022;Ecig Vapor Juice Store;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
09/29/2022;09/28/2022;Bespoke Apothecary LLC;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
09/29/2022;09/29/2022;American Legends Eliquid;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
09/29/2022;09/29/2022;La Crosse Smokes 4 Less 1 Inc. d/b/a SMOKES 4 LESS;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/04/2022;08/05/2022;Flawless Beauty and Skin;Center for Devices and Radiological Health;Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device;;
10/11/2022;09/29/2022;Lite-Up Anywhere Ltd.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/11/2022;10/03/2022;Legacy Pharmaceutical Packaging LLC;Division of Pharmaceutical Quality Operations III;CGMP/Finished Pharmaceuticals/Adulterated;;
10/11/2022;08/01/2022;DF Global, Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
10/11/2022;10/05/2022;Eksa Mills S.A. de C.V.;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
10/11/2022;09/12/2022;C. Liberatore LLC;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
10/11/2022;09/26/2022;Vero USA Corporation;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
10/13/2022;10/13/2022;Vital Vapers LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/13/2022;10/13/2022;Juicemafia, Inc. d/b/a Ecig-Works;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/14/2022;10/14/2022;B&G Trading LLC dba VaportechUSA;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
10/18/2022;09/20/2022;South Pork Ranch Equipment LLC;Center for Veterinary Medicine;Unapproved New Animal Drug/Adulterated;;
10/18/2022;10/05/2022;Beijing Xinggu Lvsan Technology Co., Ltd. Formerly known as Beijing Lvsan Technology Co., Ltd.;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug/Misbranded;;
